text,label
Compare it to Cheerios or Quaker Oats however and you'll see right away you can get other healthy cereals that are quite good for you with far fewer carbs and much less sugar.,i
Oatmeal has good dietary fiber too although not as much as this cereal has.Overall Fiber One Raisin Bran is probably the best raisin bran cereal I've ever eaten.,i
It's great; but because of certain health issues I wouldn't actually eat this every day unless you need carbs for some reason.,i
It's a mixed bag type of product.,e
Eat this and enjoy it; but also switch off between this and other healthy cereals like Cheerios and Quaker Oats.,i
This cereal is so tasty  it seems like you are eating one of those notgoodforyou sugary cereals that kids love.,i
They are very similar to Cinnamon Toast Crunch.,i
They do have a slight healthy taste but it's hardly noticable.,i
Even the kid's will enjoy this cereal which has an amazing amount of fiber in it  especially to taste so good not like sticks I used to eat raisin bran b/c it had 7g of fiber and still tasted okay.,i
Now I eat this which has 9g of fiber and tastes awesomeI highly recommend it.,i
Oh and the squares are small about 1/2 the size of CTCrunch so it's the perfect size for toddlers to pick up and eat.,e
They'll think they are eating candy but you'll know it's good for them ;,i
If you're looking for a more adult version for raisin bran be sure to try this.,i
The flakes remain crunchy for quite some time the raisins are larger and more frequent and it's packed full of vitamins.,i
Great great stuff even my cat likes it so hey you can't beat that  We consume quite a bit of this stuff in our house.,i
Highly recommend,e
Our family has always had Raisin Bran in the house so I was intrigued by the great reviews on TOTAL Raisin Bran  wanted to try it.,i
When comparing the raisin brans Amazon carries notice the BOXES vary in size ounces and the NUMBER of boxes in an order also vary as does the cost.We LIKE raisin bran and Post is probably our favorite because it has branny bran flakes and less raisins than Kellogg's which claims two scoops on the box.,e
Kellogg's has great bran flakes also but too many raisins IMO.,i
That brings us to Total Raisin Bran which seems to have about the same amount of raisins as Post but the FLAKES are completely different from both Kellogg's and Post.,i
Total Raisin Bran flakes are much larger and more crispy than the others but do not TASTE like BRAN flakes and seem a little bland by comparison.So Total is a lighter raisin bran in flavor and would be great for kids or people new to raisin bran or for people who want less distress from the fiber because Total has LESS fiber per cup than the others.,i
Kellogg's has 8 grams fiber per cup Post has 7 and Total has 5.So Total Raisin Bran is a great value 6 boxes in the order but it is not like traditional American raisin bran  if you're looking for less fiber less branny taste and large crispy flakes and great value Total is it,e
Total Raisin Bran is perhaps the best raisin bran cereal on the market.,e
The cereal is fortified so it supplies 100 of the daily Bvitamins as well as 100 of zinc iron and calcium.,i
The bran flakes are crisp and remain crisp a lot longer in milk.,i
Other raisin bran have flakes that quickly turn to mush when doused with milk.,i
Finally there are enough raisins in the mix so that one does not have to add extra raisins.,i
Perhaps best of all the cereal tastes good as well  although this is undoubtedly due to the added brown sugar and white sugar.,i
160 calories a serving.Most stores sell this product for about 4.25 a box.,i
This combo deal gives the buyer 6 boxes for just less than 4 bucks a box this does not include shipping charge.,e
All cereals have a long shelf life so if this is a favorite cereal several of these 6packs could be purchased and stored.kone,e
one factor that Total raisin bran is one abpve the rest of the pack is that the flakes maintain its flakes longer when immersed in milk.,e
Delecious and great value from amazon.,e
We have tried all the typical brans including ones from the health food store ... this is the one.,e
This is delicious cereal no doubt about it: the slices of freezedried real fruit ensure that.,i
It has plenty of fiber too and is free of artificial ingredients.It's a little crunchier than average: harder than corn flakes but not as toothcrunchingly hard as Kashi GoLean Crunch.I love the packaging: a simple recyclable brown cardboard box with a little colored ink.,i
I don't need my breakfast cereal in glossy packages.,e
Although it is sweetened with natural cane sugar 17g is a lot for a single serving when for example Kashi's Cinnamon Harvest comes in at 9g and still tastes plenty sweet for me.,i
I can't help think that given the real fruit in this Summer Berry Blend they could have gotten by with quite a bit less sugar.So I'd recommend this as a cereal for someone with a sweet tooth.,i
It's for someone who wants to eat healthier cereal but can't seem to stay away from the Chocolate Frosted Sugar Bombs.,i
Back to Nature Summer Berry Blend cereal tastes very good.,i
These are are thick sugar frosted brown sugar and honey corn flake shape multigrain pieces wheat and barley with freeze dried chunks of raspberries strawberries and blackberries in order of how frequently I found various pieces interspersed throughout.,i
It holds up very well to milk staying crunchy for a long time and the fruit pieces swell up to almost real size.,i
The fruit really tastes natural and tangy in your mouth.,i
No one in my family disliked the taste but my health conscious son objected a bit to the 17g of sugar per 55g serving he did like the 5g of protein per serving though.,i
Given the taste and only 5 out of 210 calories per serving coming from fat the rest of us were willing to let that go.I tried the cereal dry as a snack food and it works here very well also.,i
After about three fistfuls though the sugar content really does come through strongly.,i
Keeps you from eating too much?There is a money back guarantee if you don't love it.,e
My box which I received in December '08 had a 5 rebate offer which expired in November '08 though.,e
Because there are no artificial preservatives used the best by data was only three months into the future Feb 24 09.In summary I and the family liked it a lot even though it might not be strictly a health food due to the high sugar contents.,i
Bottom line it tastes very good.,i
Unlike some other cereals with only little bit of fruits this cereal has lot of fruits in the box.,i
The flakes seem harder larger and crunchier than the convention corn flakes.,i
It didn't taste too sugarish yet it's not void of sugar.,i
I had the cereal sent to my office.,e
I was goin to take it home for the family to try out but after tasting it i think i'll be greedy and keep it in my office for me to consume.,e
Though natural and very tasty this has too much sugar for my tastes or for a healthful breakfast.,i
It's similar to frosted flakes on the sweetness scale...,i
There's plenty of whole natural fruit though which is rare even in premium cereals.I liked it best when mixed about 50/50 with Cheerios or Shredded Miniwheat.,i
I got this thinking granola and wound up with something that is more like frosted flakes.,i
Not quite that bad.,i
But the sugar content on this stuff is a bit high and the flakes seem to be crunchy primarily because they have a lot of sugary coating.So why 4 stars?,i
LOADS of freeze dried strawberries and raspberries.VERY nice flavor if a bit too sweet in my books.,i
Don't let the box fool you this is not some slightly sweet trail mix.,e
This would be a 5star except for the sugar content.,i
If you don't care about that this is great.It tastes great; the dried strawberries add a nice flavor  better than a raisin bran for my tastes.The ingredients are healthful  whole grains et al.Unfortunately the sugar content is too high to consider this a truly healthful breakfast cereal.,i
It comes from sources like honey and brown sugar and the berries but nonetheless its a lot of empty sugar calories.,i
It's consistent with the nutrition label of other sweetened healthy cereals like some of the kashi sweeter cereals for instance or a whole grain raisin bran.For a healthier alternative with lower sugar content try Kashi's Go Lean for instance  no fruits but same fiber / whole grain and much less sugar.But again this was really good if you don't care about that.,i
I like this cereal.,i
It is better than the fruit in flakes cereal I buy at the local big chain grocery store as far as amount of fruit size of fruit and consistency of flakes are concerned.,i
By consistency I mean that the flakes stay crisp in milk.,i
I tend to eat slowly and the flakes in this cereal stayed crisp to the last bite.,i
Yes I timed it and I took 8 minutes to eat 3/4 cup in milk and the flakes didn't get soggy.,i
There is a large amount of dried fruit in this cereal and I think maybe that has something to do with the HIGH sugar grams The special k with dried berries I buy at the local market has 9 gms of sugar per serving.,i
But it also has about 1/2 the amount of berries and they are smaller.,i
I like the Back to Nature brand.,e
It is very sweet and I am more likely to eat it as a snack then as a meal.,i
But it is worth buying.,e
From comparing the nutrition labels it seems healthier than the other product in my cabnet.,i
I gave this product 4 stars instead 5 for two reasons.,i
1 The rasberries are slightly for lack of a better word overly tart.,i
And 2I don't know what I would do with six boxes of it  Wow that is a lot at one time.,e
I only recieved one box thank goodness I really like the product but only 2 of us live in the house.,e
If I could buy it in individual boxes I definitely would purchase this product.,e
If you are looking for a good tasting healthy cereal keep looking.,i
This particular cereal does have whole grains and some fiber without trans fats and high fructose corn syrup but that's where healthy ends.,i
There are SIX different kinds of sugar in this cereal plus the concentrated sugar you get in dried fruits.,i
The flakes are as sweet if not sweeter than many popular kid cereals.,i
The ingredients list barley syrup concentrated grape juice molasses honey evaporated cane juice and brown sugar.,i
That's a lot of sugar.,i
I compared this cereal to other cereals in my pantry.,e
I converted all of them to the same number of grams per serving so my comparisons would be meaningful.,i
In nutritional value this cereal was close to Lucky Charms and Leaping Lemurs an organic version of peanut butter Kix.,i
The Lucky Charms had more sugar and less fiber.,i
For a 50g serving of Back To Nature Summer Berry Blend Cereal you get 191 Calories; 1g Fat; 42g of Carbs with 15g of that in Sugar.,i
You also get 5g of Fiber but it doesn't state whether that fiber is soluble or insoluble.,i
Finally there are 5g of Protein and 91g of Sodium.How does the cereal taste?,i
The flakes are very hard/crisp and very very sweet.,i
It made me think of eating a really hard frosted flake with sugar added.,i
The fruit is freeze dried without any additional sugar so it is tart but there is still sugar in the fruit concentrated fructose.,i
I put soy milk on the cereal and let it sit for a minute and the flakes were still hard.,i
I tried rinsing some flakes in warm water to take some of the sweetness out but that left warm tasteless squishy flakes that were still sweet.If you like Very sweet cereal with a light malted barley taste you'll like it.,i
Just remember that it full of sugar and the sugar/fiber ratio is not good.,i
If you are attracted to it because it says Natural remember that there are no regulations on the use of the word Natural in the food industry and the cereal does list any ingredients as organic.,e
I have to admit I did like the flavor and I liked the extreme crunch.,i
However I threw away most of the box of cereal to keep from eating it because of the high sugar content.,i
Don't let the dried berries in this cereal put you off...coming out of the box they are puffedrice light and taste tart and grainy.,i
Moral of the story: don't eat this cereal out of the box dry.,e
But pour milk on it...what a difference.,i
The berries absorb liquid becoming much closer to the effect of having fresh berries on your cereal with lots of berry flavor but the best part is that as the berries are absorbing the milk the flakes are NOT.,i
These multigrain flakes are thick and crunchy and have wonderful flavor and texture.,i
For once a flake cereal that can be eaten leisurely with time to taste the coffee in between bites without having to bolt down the bowlful in a race against the typical corn flakes soggies.Note for those who need to watch sugar content: this cereal is sweetened with a combination of malted barley syrup evaporated cane juice molasses grape juice concentrate and brown sugar.,i
Serving size is one cup 210 calories per serving with 17 g total sugars.,i
Each serving also provides 5 g fiber and 5 g of protein.,i
Sodium is relatively low compared to other cereals at 100 mg per serving for comparison 1 cup Cheerios has 190 mg 1 cup rice Chex has 240 mg and 1 cup Kellogg's Raisin Bran has 350 mg sodium.,i
For many reasons I really liked this snack.,e
First the 2 crisps are only 100 calories.,i
For a 100 calorie snack this really satisfied my snack attack.,i
It does taste a little like a pop tart but without the icing on top and not quite as rich in the fruity flavor.,i
I found myself wondering what other flavors these came in.,i
I will definitely have a box on hand at work for my 3 pm food craving.,e
For a 100 calorie snack I highly recommend these.,i
These are great They do remind me of a pop tart but much crisper and lighter.,i
There is no dry cardboard taste.,e
The apple cinnamon flavor inside is also very good and fruity.,i
Some might find it a little chewy but I think it's great and goes well with the outside crust.,i
A nice snack or quick breakfast and you can't beat only 100 calories.,i
The other flavors are also very good.,i
I really enjoyed these fruit crisps.,i
I decided to give them 4 stars instead of 5 because they could be just a little juicier inside and a little healthier like whole grains.,i
But for those two things I am really impressed with these.There are two crisps in each package roughly 1 1/2 by 3 1/2.,e
They look vaguely like a pop tart though I'm not fond of those with some cinnamon sugar on the top that adds flavor and texture.,i
Inside is some fruit filling which is a little dry compared to the normal fruit newtons but at the same time really good.,i
It's not sickly sweet like some snacks but not bland either and being like dried apple the filling itself is a pleasantly chewy.,i
The overall flavor is cinnamon appley like an apple turnover but not buttery.,i
I know my kids will love these.,i
I do like the crispness compared to pop tarts and neatly formed crust.Good for on the go snacks for adults kids lunches afternoon snacks etc.,i
Thumbs upOnly 50 calories 4 grams of sugar and 1 gram of fat per bar.,i
And 16 bars packaged in twos per package.,e
Alas no fiber per serving.,i
Good thing they're packaged in sets instead of loose or they might get snarfed up too quickly.,e
First bite was like a cross between a pop tart and a cracker in texture.,i
Crunchy then chewy making it satisfying as a munchy.,i
Just for kicks I warmed one up in the microwave for 5 seconds tastes like apple pie would compliment ice cream and goes very well with hot tea.,i
Perfect when you want something sweet and crunchy at the same time.,i
Like a lot of other people I would like them better with a little more filling otherwise I have no complaints.,i
They look a little like a pop tart but much better tasting.,i
make a nice on the go snack for busy people.,e
For 100 calories these are great little snacks  They remind me of pop tarts a crunchy pastry with an apple cinnamon filling.,i
They are not too sweet but are actually sweeter than most of the 100 calorie snacks I have tried.,i
Although I wouldn't say they were exactly a healthy snack they don't contain any artificial sweeteners which is a plus for me and they contain real fruit.,i
I really enjoyed mine with a cup of coffee in the morning a great alternative to a pastry or doughnut and certainly healthier than either of those.All in all Newtons Fruit Crisps Apple Cinnamon were very tasty and they are low in calories if you are reaching for a snack and watching your calories this would be a good snack to reach for.,i
I thought that these have a good taste and the batch I received where crisp.,i
It was like eating a crunchy Fig Newton with Apple flavoring instead of the Figs.,i
Though for my taste it was light on the apple.,i
The apple shows up halfway down the ingredient list.,i
They almost taste like a thin pop tart with the type of crust you find on a baklava.These would be perfect for a snake that is low on calories.,i
For 100 calories you get two bars in each foil pouch.,i
But they contain no protein so they are carbs and sugar.,i
So if you are trying to stay away from carbs you will not want these.,i
I personally would eat them and enjoyed doing so.,i
But would not go out of my way for them.,e
The short version of this review is that a kid will probably love these right out of the box but for an adult they're kind of bland.,e
If you toast them lightly and/or dunk them in milk cow or soy they're quite good.And now the long version: I want to watch what I eat.,i
So when I have a snack it needs to be efficient.,e
It needs to have a satisfying flavor as well as satisfying the actual hunger.,i
I had a situation where I had to skip a meal but I had a pack of these in my purse.,e
So I ate it and it quieted my hunger until I was able to get an actual meal.,i
So it works for me as a snack that satisfies hunger.The portions here do seem rather small when you look at them.,e
They seem almost flimsy when you hold them and when you bite they do crunch but it also flattens out under your teeth.,i
They don't crumble much so they don't make a big mess.When you eat it alone the crust tastes a bit like raw pop tarts.,i
Which is actually how I used to eat pop tarts when I was a kid.,e
A child's taste buds are different from an adult's I think young kids would really like Newtons Fruit Crisps raw.,i
As an adult I found them a little dry and kind of bland until I hit the filling.,i
The apple filling is really good the more you chew the better it tastes.,i
Which is good because that gets you in the habit of eating slower really chewing up your food and taking time to taste what you're eating.Since they reminded me of pop tarts I put them in my toaster oven on the lightest toast setting and had them with vanilla soy milk.,i
Toasting improved the taste and texture of the crust quite a lot.,i
I highly recommend them that way.I suppose it's possible I just got a somehow undercooked batch but I doubt it.,e
So since I need to toast it to really bring out the flavor Newton's apple cinnamon fruit crisps get three stars because it's not quite as convenient as I would want from a prepared snack.,i
This is a toaster pastry pop tarts which comes in 1.5 x 3.5 inch little bars.,i
It has crunchy outer crisps covering the inner fruity Apple Cinnamon.,i
It tastes raw if you eat this without toasting them.,i
Toasting adds a little extra flavor and the warm crisps feels and tastes good.,i
I did not find anything great when I compare this product with other toaster pastries available in the market.,e
I hope you are fan of pop tarts and appreciate the taste of this snack.1.KELLOGG SNACKS KEEBLER 31132 POP TARTS CINNAMON FLAVORED TOASTER PASTRIES 3.67Oz.2.KEB31732  Kelloggs Pop Tarts Toaster Pastries Strawberry3.KELLOGG SNACKS KEEBLER 3800019721 POP TARTS Pack of 64.Nature's Path Organic Frosted Strawberry Toaster Pastries 12Count Boxes Pack of 65.Nature's Path Organic Frosted  Cherry Pomegranate 6Count Box Pack of 126.Nature's Path Organic Toaster Pastries 24 Strawberry  12 Blueberry Frosted Total 36 counts,i
my whole family liked these.,i
They are similar to pop tarts but without the icing all the calories and with a crisper fresher taste.,i
I enjoyed a pack of them with a cup of hot herbal tea for a late afternoon snack.,e
Kind of like a diet apple pie snack.,i
A nice addition to the growing 100 calorie snack line up.,i
I will be buying and trying these again.5 stars.,e
Nabisco's new Fruit Crisps may not be the most satisfying snack one could find.,e
But as snacks go it is a nice alternative to chips pretzels and similar snacks.Fruit Crisps look like a small version of pop tarts but are lighter and tastier.,i
The cracker like coating is indeed crispy and delicious.,i
It has a nice texture and crunch and almost approaches a pie crust like consistency.The apple filling resembles a jelly more so than a fruit filling.,i
The flavor is fair and sweet but appears to be more a mix of flavors than pure apple.,i
This is probably to be expected in a snack like this that needs to have some shelf life.Nutritionally Fruit Crisps are closer to chips and pretzels than a true fruit.,i
One pack provides fewer calories than most junk foods  however which makes the new produce appealing.,i
for something quick and for those on the go Fruit Crisps delivers ,e
Nabisco Newtons Apple Fruit Crisp snacks are reminiscent of pop tarts but are thinner and have a different texture.,i
They are slightly crispy and delicious; however there is very little of the sweet yet tart filling which tastes much like fresh apples.,i
Each pack contains 100 calories and one just doesn't seem to be enough.,i
Heating for a few seconds improves the flavor.,i
I thoroughly enjoyed every bite of this tasty little snack but think more filling would greatly enhance the product.,i
I am a Fig Newton fan so I was looking forward to these crisp snacks as something to satisfy that snack craving that hits me midway between lunches and goinghome time.,e
What I really want is a tasty bag of fatty potato chips but that is never good for you and fresh fruit just isn't really what I want.These snacks are...OK.,e
They are a little bland and taste better toasted than they do just out of the pack but are more of a morning snack than an afternoon one.,i
The apple/cinnamon flavor is perfect for a cold morning but I am not much of a breakfast snacker so they don't really fit the bill.While not exactly healthy they aren't really bad for you either.,i
They aren't incredibly delicious but they don't taste bad.,i
They just sit right in the middle in everything.,e
If you are looking for something to toast and snack on in the morning they would be great; a healthier version of pop tarts.,e
I'm actually a diabetic; and cereal because of it's high glucose content is usually something I stay away from.,i
If I eat cereal for breakfast even the good cereals like corn flakes or cheerios I see a sudden spike in blood sugar and usually get tired at around 10 or 11am.,i
These Nature's Path Cereals this one and the granola are the only cereals from which I experience absolutely no negative effects.,i
Because of the natural ingredients pumpkin seeds flax etc.,i
this cereal does not immediately turn to sugar for the body to process.,i
Instead it leaves you feeling full and energized for a long time.,i
They taste incredible too; seriously I prefer this over regular raisin bran or whatever you'd compare it to.,i
Strongly recommend,e
I believe these are the cookies when I was in grade school that they sold as a snack in small packages along with cheezits..when I saw these here..i was surprised..did not know that they still made them..as I have not ever seen this particular kind in the grocery stores.,e
they are very thin flat biscuits filled with raisins and crunchy..they are in the package in one long piece..you can break them to whatever size you would like..they are not too sweet at all..enjoyable.,e
So my parents were visiting and happened to give my 18 month old some corn pops.,e
I have never seen a kid eat things so fast so I decided to google an organic type of corn pop.,i
Now don't get me wrong I LOVE the peanut butter and the peanut butter and chocolate cereals from EnviroKidz so I thought the Gorilla Munch should be good.,i
I still have 3 boxes left in the pantry.,e
My kids don't want it it was kind of bland I wasn't impressed with the flavor.,i
I will continue to buy EnviroKidz but just not this type.,e
We have switched to an all Organic diet for our son with autism and it is hard to find kid  friendly cereals.,i
While I am not certain if the sugar content may be high as one reviewer disliked  it is an all natural sugar and not highfructose corn sugar or GMO modified beet sugar  So I am happy and feel good about letting our little one enjoy this cereal  It stays super crunchy in milk or soy milk...PLUS it is gluten free and my husband can enjoy it as well:Also this is not a peanut butter flavored cereal as some people have reviewed  it taste like Kix or corn pops,i
So its very hard to find an organic cereal in rural Vermont that doesn't cost a fortune so I was very happy to find these on Amazon.,e
Beware they taste a lot like cocoa krispies and are addictive  I had 4 bowls on Saturday alone...,i
They are good for a sweet treat just be sure you have more selfcontrol than I do,i
Well what can you say?,e
Been eating these over 50 years..a nice basic cereal low in sugar...take a break from corn flakes and give these a try..esp if you can get on sale.,i
the cereal has a different texture than any others I've had like chocolate or berry.,i
kind of reminds me of rice crispies.,e
I think i'll stick to my favorite special k and order chocolate from now on.,i
Out of cereal?,e
Kids don't like pop tarts?,e
Still want to get them a giant serving of sugar before sending them to school?,i
...I guess it's best if I don't address this company's allusion to this being like eating a real apple every day.It annoys me that companies try to say things are healthier than they are and it annoys me even more that people allow themselves to believe such claims without a further thought.,i
Regardless I'm still eating this stuff on occasion: it tastes good.,i
I'll be using it to replace my occasional want for a cake or cookie though instead of as daily breakfast.Interestingly they say the pack is now suitable to measure the milk or water that you add.,i
Not a bad idea even if a little dangerous.,i
i really like this corn flake granola almond thing that is going on in this box.we got 10 boxes 18 oz each for like 2.00 flat a box one day using subscribe andsave.,e
no close expiration date.does not taste chalky or like kelloggs fat free granolait is moist in the mouth/no strange after effectsit rates a 5 and is not generic for this value pricewith free shipping and no tax / the store never has this price,e
These Big Nut Bars taste like rice krispie bars with nuts so if you like rice krispies and nuts you'll definitely like these bars.,i
The bars are very filling and appetizing and since they are pretty high on protein content as well they make an ideal postworkout food.,i
They can also be used as mealsubstitutes or a healthy snack for any time of day.,i
i agree with some others who LOVE them..........these are much better than the usual normal just regular cheezits.,i
get em  don't know if i will share them or not  heh.,i
This is a really tasty snack cracker.,i
My kids love to eat these right out of the box but we really like them over tomato soup they're also great adding 1 cup to homemade chex mix.,e
Another favorite is to finely crush 1 cup hot  spicy cheezits and mix into 2lbs of ground beef I add a little worchestershire sauce one egg and some garlic salt and then make my own hamburger patties.,e
It makes 8 quarter lb patties.,e
They are fantastic that way and everyone will love your hamburgers.,e
If you want a little more kick then add pepper jack cheese but we just use american slices.,i
These are our favorite of all the cheezits.Just a note that this is the 9oz box and not the normal 13.7oz box so just beware when comparing prices at the grocery.,e
I love snacking on cheezits and a good or better aged cheddar cheese together with a mustard and sliced pepperoni.,i
My grandsons love Oreo cookies.,e
They also love pop tarts.,e
So what better combination than these Oreo flavored pop tarts for a treat now and then  They are away at school so these are great for sharing too,e
These are the second best flavor for pop tarts.,i
I was initially worried that these would be a major FAIL like the red velvet pop tarts but these are surprisingly good.,i
this is really delicious and it's better in cerealmy favorite is natural corn flakes than honey.,i
the flavor is really nice it doesn't overpower anything it just adds a nice flavor.,i
i use it in baking on fruits etc.,i
i've continually ordered it from amazon.,e
This really is a yummy cracker.,i
My kids love goldfish crackers and hubby loves cheezits.,i
In my quest to more healthy eating I found these and they really are a good alternative to both.,i
They have the small fun shape that appeals to the kids but they taste more like a cheezit only with all natural ingredients.,e
I signed up for subscribe and save every two months and I may have to change it to every month.,e
We got the first shipment less than a week ago and we already opened the second box.,e
i love the pastry.,i
i love the filling.,i
i love my pop tarts.,i
they are packaged very well and i had very little damage.,e
any damage i think would be from shipping.,e
the two tarts are packaged in an aluminum foil like material for freshness.,e
i just pop mine in the toaster for a couple minutes.,e
i really like the crust alot.,i
i am reordering because i like them so much and the price is really good.,e
always watch for a sale price or special on them.update:  now i toast them in my rosewill convection oven until they are crispy light brown on the outside and i see a tiny bubble come out of the little holes on top.,e
it only takes a few minutes.,e
they are very very delicious piping hot and crispy on the outside like a pastry crust.,i
i always watch for the best price here on amazon.com and this is the best place for me to buy them.,e
i keep pop tarts around for 34;emergencies34; and i was sorta nervous about buying in bulk but these are the freshest pop tarts i have ever bought including from supermarkets kudos to the sellers and well worth the purchase: i never knew they could be noncardboardlike before toasting,e
even better with some Skippy peanut butter  chocolate graham and marshmallow goodness2.50 per box when ordered 12 boxes of 12 for 30 with free s/h.,i
That equals .20 cents per pop tart can't beat that PLUS they taste Delicious the ones i ordered have a 'best used by' date of June 2013 so i've got 10 months,e
Chocolate lovers delight This is probably my favorite pop tart flavor.,i
It is best toasted because it will be all warm and toasty.,i
Eat with milk It reminds me of a chocolate candy bar.,i
Or better yet smores,i
My daughters love pop tarts.,i
This kind is their favorite kind.,i
I haven't eaten a pop tart since I was in elementary school and this flavor wasn't around when I growing up.,i
But my daughters rave about this particular one and how great it taste.,i
The original flavor would work fine with any dip and are okay on their ownThe salt and pepper flavor is AWESOME.,i
Really tasty and a great snack for only 100 caloriesThe sour cream and onion is a little chemically but decent.The barbeque is good but not tasty enough.,i
The flavor doesn't go as well with the texture.Haven't yet tried the other two flavors.,i
Will update as I do.If you haven't tried popchips they are sort of a cross between pringles and rice cakes.,i
Less like styrofoam than rice cakes and made with the same potato flakes kind of texture as pringles without as much fat.So far I have this on subscribe and save and will keep that subscription active.,e
These definitely beat a 150  300 calorie bag of potato chips as a snack.,i
The kids like these fruitandcream oatmeal better than the regular type.,i
This is still way better for them than dry sugar cereal like frosted flakes.,i
4 boxes for 10 is a decent price and it is nice to get several different flavors in one box so you get some variety for breakfast.,e
I like McCanns a little better than Quaker but McCanns fruitandcream is hard to find.,e
These small individually packaged pringle cups are perfect for lunch boxes.,e
And the bulk size is great for larger families.,e
For a family of 7 schoolaged kids this lasts a week.,e
Not too shabby on the pocket book.,e
There are just a few problems that we personally had with this collection:All of the pringles came broken.,e
Not one package had actual sized chips.,e
My creative kiddos ate them with a spoon.,e
Geniuses haha.,e
But in all reality I was fairly disappointed that they had all broken during transit.,e
I know that this has alot to do with the packaging of the box Amazon could have done a bit better.,e
But it's also at fault of the individual packages.,e
They leave a lot of space for the chips to get jostled around and broken where as full cans do not have that problem.The variety although delicious causes conflict with picky eaters.,e
Now I know I know I bought a variety what else did I expect?,e
But for a parent teacher camp counselor or babysitter of finicky kids do not I repeat do not get a variety.,e
Basically there are three flavors.,i
The cheese went first.,i
Then sour cream and onion.,i
And then plain.,i
Of course when one kid got the last sour cream and onion and another child was left with plain all heck broke loose Needless to say variety was a bad idea.,i
I will from now on be offering only one choice of flavor.With that being said.,i
I like that the pringles come individually packaged.,e
They're the perfect size for a lunch box picnic basket or cooler.,e
You can hand them out to each kid they all get the same sized serving and they all have their own little container.,e
Creates less of a hassle around one big pringles container.The chips were fresh They came in and tasted great.,e
The broken texture didn't make a big difference simply because they are so dang yummy we couldn't not eat themTruthfully in the future I think I'll opt out of the smaller packs simply because they came broken.,i
I'll also avoid variety.,e
Although variety is great for most people unfortunately I live in the world's most demanding household.,e
So no more variety for me.,e
But I would recommend it for someone single or who has extremely abnormally notpicky kids.,e
My kids loves pringles and have these variety pack make them feel happier.,e
Great snack for beautiful people.,e
i love mm..,i
I usually eat special k protein plus which I love but its nice to have another healthy cereal optionand this is it.,i
I love this cerealit tastes just like cinnamon toast crunch but this is healthy whole grain and not too sweet.it also has fiber and is only 110 cal per serving.,i
